,date,Country_Region,Confirmed,active_cases,active_rolling
1497,2021-04-10,India,13358805,152879.0,124756.57142857143
1500,2021-04-11,India,13527717,168912.0,134092.85714285713
612,2021-04-12,India,13689453,161736.0,143343.42857142858
609,2021-04-13,India,13873825,184372.0,153148.57142857142
360,2021-04-14,India,14074564,200739.0,163712.85714285713
363,2021-04-15,India,14291917,217353.0,175910.7142857143
903,2021-04-16,India,14526609,234692.0,188669.0
900,2021-04-17,India,14788003,261394.0,204171.14285714287
504,2021-04-18,India,15061805,273802.0,219155.42857142858
501,2021-04-19,India,15320972,259167.0,233074.14285714287
237,2021-04-20,India,15616130,295158.0,248900.7142857143
240,2021-04-21,India,15930774,314644.0,265172.85714285716
984,2021-04-22,India,16263695,332921.0,281682.5714285714
981,2021-04-23,India,16610481,346786.0,297696.0
1566,2021-04-24,India,16960172,349691.0,310309.85714285716
1569,2021-04-25,India,17313163,352991.0,321622.5714285714
444,2021-04-26,India,17636186,323023.0,330744.85714285716
441,2021-04-27,India,17997113,360927.0,340140.4285714286
852,2021-04-28,India,18376421,379308.0,349378.14285714284
849,2021-04-29,India,18762976,386555.0,357040.14285714284
660,2021-04-30,India,19164969,401993.0,364926.85714285716
144,2021-05-01,India,19557457,392488.0,371040.71428571426
1080,2021-05-02,India,19925517,368060.0,373193.4285714286
1083,2021-05-03,India,20282833,357316.0,378092.4285714286
1281,2021-05-04,India,20664979,382146.0,381123.71428571426
1278,2021-05-05,India,21077410,412431.0,385855.5714285714
792,2021-05-06,India,21491598,414188.0,389803.14285714284
795,2021-05-07,India,21892676,401078.0,389672.4285714286
1152,2021-05-08,India,22296081,403405.0,391232.0
1155,2021-05-09,India,22662575,366494.0,391008.28571428574
540,2021-05-10,India,22992517,329942.0,387097.71428571426
537,2021-05-11,India,23340938,348421.0,382279.85714285716
1428,2021-05-12,India,23703665,362727.0,375179.28571428574
1431,2021-05-13,India,24046809,343144.0,365030.14285714284
858,2021-05-14,India,24372907,326098.0,354318.71428571426
855,2021-05-15,India,24684077,311170.0,341142.28571428574
318,2021-05-16,India,24965463,281386.0,328984.0
321,2021-05-17,India,25228996,263533.0,319497.0
1584,2021-05-18,India,25496330,267334.0,307913.14285714284
1587,2021-05-19,India,25772440,276110.0,295539.28571428574
1029,2021-05-20,India,26031991,259551.0,283597.4285714286
1026,2021-05-21,India,26289290,257299.0,273769.0
285,2021-05-22,India,26530132,240842.0,263722.14285714284
288,2021-05-23,India,26752447,222315.0,255283.42857142858
522,2021-05-24,India,26948874,196427.0,245696.85714285713
519,2021-05-25,India,27157795,208921.0,237352.14285714287
1635,2021-05-26,India,27369093,211298.0,228093.2857142857
1638,2021-05-27,India,27555457,186364.0,217638.0
366,2021-05-28,India,27729247,173790.0,205708.14285714287
369,2021-05-29,India,27894800,165553.0,194952.57142857142
1374,2021-05-30,India,28047534,152734.0,185012.42857142858
1371,2021-05-31,India,28175044,127510.0,175167.14285714287
696,2021-06-01,India,28307832,132788.0,164291.0
1377,2021-06-02,India,28441986,134154.0,153270.42857142858
1380,2021-06-03,India,28574350,132364.0,145556.14285714287
1203,2021-06-04,India,28694879,120529.0,137947.42857142858
1200,2021-06-05,India,28809339,114460.0,130648.42857142857
60,2021-06-06,India,28909975,100636.0,123205.85714285714
63,2021-06-07,India,28996473,86498.0,117347.0
1311,2021-06-08,India,29089069,92596.0,111605.28571428571
1320,2021-06-09,India,29182532,93463.0,105792.28571428571
279,2021-06-10,India,29274823,92291.0,100067.57142857143
276,2021-06-11,India,29359155,84332.0,94896.57142857143
1038,2021-06-12,India,29439989,80834.0,90092.85714285714
1041,2021-06-13,India,29510410,70421.0,85776.42857142857
1644,2021-06-14,India,29570881,60471.0,82058.28571428571
1641,2021-06-15,India,29633105,62224.0,77719.42857142857
513,2021-06-16,India,29700313,67208.0,73968.71428571429
516,2021-06-17,India,29762793,62480.0,69710.0
921,2021-06-18,India,29823546,60753.0,66341.57142857143
924,2021-06-19,India,29881772,58226.0,63111.857142857145
1437,2021-06-20,India,29935221,53449.0,60687.28571428572
